config-benchmark,Config_ID,Bench_ID,Core.Area,Core.Leakage,Core.Dynamic,IFU.Dynamic,IC.Dynamic,BTB.Dynamic,BP.Dynamic,GP.Dynamic,L1_LP.Dynamic,L2_LP.Dynamic,Chooser.Dynamic,RAS.Dynamic,Inst_Buff.Dynamic,Inst_Dec.Dynamic,RNU.Dynamic,Int_RRAT.Dynamic,FP_RRAT.Dynamic,Free_List.Dynamic,FP_List.Dynamic,LSU.Dynamic,DC.Dynamic,LDQ.Dynamic,STQ.Dynamic,MMU.Dynamic,Itlb.Dynamic,Dtlb.Dynamic,EXU.Dynamic,RF.Dynamic,Int_RF.Dynamic,FP_RF.Dynamic,Ins_Sche.Dynamic,Inst_Win.Dynamic,FP_Win.Dynamic,ROB.Dynamic,Int_ALU.Dynamic,FPU.Dynamic,Com_ALU.Dynamic,Rslt_BB.Dynamic,fetchWidth,decodeWidth,FetchBufferEntry,RobEntrry,IntPhysRegister,FpPhysRegister,LdqEntry,StqEntry,BrCount,MemIssueWidth,IntIssueWidth,FpIssueWidth,DCacheWay,DCacheMSHR,DCacheTLBEntry,ICacheWay,ICacheTLBEntry,ICachefetchBytes,ipc_total,cpi_total,numCycles,idleCycles,BTBLookups,condPredicted,condIncorrect,int_insts,fp_insts,loads,function_calls,SquashedInsts,commitInsts,commit_per_cycle,commitRefs,branches,dec.RunCycles,dec.BlockedCycles,DecodedInsts,dtb.accesses,dtb.misses,fetch.Insts,fetch.Branches,fetch.Cycles,iew.exec_refs,iew.exec_stores,iew.ExecutedInsts,iew.wb_count,iew.exec_branches,iq.issued_per_cycle,int_inst_que_reads,int_inst_que_writes,int_inst_que_wakeup,fp_inst_que_reads,fp_inst_que_writes,fp_inst_que_wakeup,int_alu_accesses,fp_alu_accesses,FU_total,FU_MemRead,FU_MemWrite,FU_FpMemRead,FU_FpMemWrite,FU_IntAlu,FU_IntMult,FU_IntDiv,FU_FpMult,FU_FpDiv,fu_busy_cnt ,itb.accesses,itb.misses,mem.conflictLoads,mem.conflictStores,mem.insertLoads,mem.insertStores,int_rename_lookups,RenamedOperands,fp_rename_lookups,RenamedInsts,rename.RunCycles,rename.BlockCycles,rename.Maps,rob_reads,rob_writes,l2.accesses,l2.misses,l2.tags.refs,mem_ctrls.reads,mem_ctrls.writes,mem_ctrls.bytes_read,icache.accesses,icache.misses,icache.mshr_hits,icache.mshr_misses,icache.tags_refs,icache.tag_accesses,dcache.Reads,dcache.Writes,dcache.Readmisses,dcache.Writemisses,dcache.accesses,dcache.misses,dcache.mshr_hits,dcache.mshr_misses,dcache.tags_refs,dcache.tags_accesses,int_regfile_reads,fp_regfile_reads,int_regfile_writes,fp_regfile_writes
GigaBoomConfig-add_fp.riscv,0,0,0.950513,0.00389489,0.0440961,0.0223438,0.008232,0.0091907,0.00110546,0.000278767,0.000340338,0.00018558,0.000278767,2.20E-05,0.00193778,0.001798,0.00266316,0.00219271,1.18E-07,0.000310572,1.31E-08,0.00863788,0.00740744,0.000383521,0.000767043,0.00011981,0,0,0.0103314,0.00316687,0.00316661,2.73E-07,0.00610773,0.00265735,1.99E-07,0.00345017,0.000928751,2.71E-07,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.317777,0.758854,208366,6444,55444,64447,5409,274570,35,38375,9172,49248,274580,192981,70096,56572,92565,22584,353080,0,0,382201,79419,103711,74133,32941,295919,294458,61137,201922,868009,373290,294423,70,35,35,359630,35,303454,42351,33927,10,5,226179,586,347,0,0,0,0,0,20860,14184,44898,36839,455549,246167,25,343335,98823,6159,195459,511999,656625,482,221,803,542,0,34688,85042,499,103,396,84939,680732,39170,31721,63,202,70891,265,179,86,70712,567214,392796,25,211994,25
GigaBoomConfig-add_fp_large.riscv,0,1,0.950513,0.00389489,0.0395705,0.0186231,0.00663696,0.00755111,0.000896396,0.000226463,0.000276246,0.000150691,0.000226463,1.65E-05,0.00179407,0.00166465,0.00240171,0.00189101,7.12E-05,0.000271671,8.05E-06,0.00877045,0.00752598,0.000388198,0.000776396,0.00011981,0,0,0.00965549,0.00293758,0.00277647,0.000161119,0.00565913,0.00234342,0.000107306,0.0032084,0.000785188,0.0001458,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.241551,0.805444,277536,6675,61232,69904,5509,334575,25010,58370,9177,50183,344575,261859,100091,61582,98899,74132,425411,0,0,451473,85102,166796,104812,43328,366995,365205,66457,270861,1028075,419807,340145,50130,25276,25060,404970,25066,374213,57637,39108,5031,5002,251484,592,299,0,0,0,0,0,35146,21750,65229,46852,522944,301978,20117,415035,111183,35946,250449,651457,798548,483,227,808,552,0,35328,91406,506,109,397,91297,731645,54490,41721,73,220,96211,293,207,86,96004,769774,459211,20024,247165,20054
GigaBoomConfig-add_int.riscv,0,2,0.950513,0.00389489,0.0488383,0.0244049,0.00880036,0.0109799,0.00101939,0.000246686,0.000299841,0.000163827,0.000246686,6.23E-05,0.00182862,0.0016967,0.00229902,0.00188122,1.57E-10,0.000258049,3.64E-10,0.0124972,0.0107278,0.000563174,0.00112635,0.00011981,0,0,0.00951742,0.00290097,0.00290097,7.07E-09,0.00562973,0.00248854,0,0.00314119,0.000858926,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.315135,0.760378,146201,3444,38647,40518,2336,192274,0,42054,18230,11876,192274,140113,73746,52022,72742,13367,214185,0,0,227040,62346,71879,75324,31962,197858,196724,53697,142757,577848,216104,196724,0,0,0,233365,0,200925,43966,32441,0,0,123332,6,971,0,0,0,0,0,606,199,44194,32809,274625,138897,20117,209809,71599,6258,126790,337044,410946,243,117,409,283,0,18112,64146,243,48,195,64097,513362,40505,31692,35,93,72197,128,80,48,72117,577624,259370,20024,130334,20054
GigaBoomConfig-add_int_large.riscv,0,3,0.950513,0.00389489,0.0444457,0.0215099,0.00794962,0.00927051,0.000917288,0.000224043,0.000272909,0.000148965,0.000224043,4.73E-05,0.00170793,0.00158472,0.00222109,0.00181071,1.17E-10,0.000250635,2.72E-10,0.0115719,0.00981353,0.000559508,0.00111902,0.00011981,0,0,0.00902297,0.00273386,0.00273387,5.29E-09,0.00537977,0.00235163,0,0.00302813,0.000781543,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.2152,0.82291,195474,3159,47165,48903,3443,237540,0,58108,18502,22664,237540,187752,97854,56647,79473,41629,275517,0,0,298673,72845,106873,100587,40314,246750,245378,59062,192315,728544,282904,245378,0,0,0,283904,0,250911,61470,40845,0,0,147338,5,1044,0,0,0,0,0,18792,9191,63807,42197,353275,182082,20117,269103,83521,20892,159649,439909,524977,243,118,420,295,0,18880,77635,234,39,195,77596,621275,48360,39746,34,102,88106,136,88,48,88018,704896,324606,20024,166120,20054
GigaBoomConfig-adpcm_dec.riscv,0,4,0.950513,0.00389489,0.0309977,0.0125076,0.00600403,0.00314338,0.00025411,5.97E-05,7.32E-05,3.98E-05,5.97E-05,2.18E-05,0.00156973,0.00145649,0.00215655,0.00172461,6.96E-11,0.000272199,1.62E-10,0.00722301,0.00588981,0.000417779,0.000835557,0.00011981,0,0,0.00899072,0.00266796,0.00266797,3.13E-09,0.00538412,0.00234698,0,0.00303714,0.000810845,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.954626,1.04753,329575,975,32674,21526,2417,314621,0,81607,14380,122683,314621,312431,119856,29029,67513,189819,458968,0,0,520176,47501,223386,142552,42568,383829,382635,35372,328600,1214249,560170,382635,0,0,0,496617,0,388812,100881,42969,0,0,213343,23752,7866,0,0,0,0,0,80877,11232,116017,54350,563771,375767,20117,451340,85996,132805,261723,740362,890784,126,55,210,139,0,8896,99242,157,58,99,99184,794035,51343,38249,23,78,89592,101,74,27,89518,716763,472609,20024,326357,20054
GigaBoomConfig-adpcm_enc.riscv,0,5,0.950513,0.00389489,0.0309599,0.0124872,0.00598767,0.00314486,0.000255231,6.00E-05,7.35E-05,4.00E-05,6.00E-05,2.18E-05,0.00156629,0.00145331,0.00215934,0.00172716,6.93E-11,0.000272434,1.61E-10,0.00721985,0.00588717,0.000417601,0.000835203,0.00011981,0,0,0.0089737,0.00266378,0.00266378,3.12E-09,0.00537448,0.0023416,0,0.00303289,0.000807643,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.95369,1.048559,330988,1112,32852,21720,2454,315660,0,81953,14403,122785,315660,313568,120294,29154,64896,193227,461348,0,0,524957,47777,224719,143031,42573,384854,383612,35351,329876,1216501,561447,383612,0,0,0,496777,0,389625,101380,43104,0,0,213498,23780,7862,0,0,0,0,0,81050,11374,116428,54462,567044,377518,20117,453945,85103,128938,262568,742666,893207,132,57,217,142,0,9088,99383,162,60,102,99323,795166,51580,38341,41,44,89921,85,55,30,89866,719398,473910,20024,327225,20054
GigaBoomConfig-basicmath_small.riscv,0,6,0.950513,0.00389489,0.02946,0.010422,0.00537709,0.00226717,0.000329631,8.39E-05,0.000102794,5.60E-05,8.39E-05,2.99E-06,0.00122842,0.0011398,0.00195646,0.00147035,9.93E-05,0.000215549,1.15E-05,0.00958248,0.00802545,0.000492386,0.000984772,0.00011981,0,0,0.00737927,0.00203578,0.00187149,0.000164299,0.0045935,0.00170755,0.000147467,0.00273848,0.000455624,0.000166559,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,0.835672,1.196642,237275,2212,18710,21904,2249,192532,19529,70001,1417,77462,198284,224191,106761,14049,33278,142681,293027,0,0,363086,24391,163646,115995,38326,215926,214942,14769,235063,632175,317294,192947,47529,36587,21995,200904,24481,219058,66763,35703,12132,3968,93583,3,1,2239,480,0,0,0,87618,43007,98542,51360,347301,214909,23973,284884,51722,74195,148892,499165,562394,214,87,356,229,0,14656,63484,287,101,186,63382,508057,51234,36760,61,51,87994,112,84,28,87910,703980,260139,17085,146308,17804
GigaBoomConfig-binarysearch.riscv,0,7,0.950513,0.00389489,0.0236235,0.00984746,0.00446796,0.00245684,0.000131368,2.63E-05,3.26E-05,1.77E-05,2.63E-05,2.84E-05,0.00140644,0.00130498,0.00162472,0.00125135,8.61E-10,0.000213621,2.00E-09,0.00448073,0.00354907,0.000283929,0.000567857,0.00011981,0,0,0.0075508,0.00233694,0.00233698,3.88E-08,0.0044977,0.00195893,0,0.00253877,0.000588361,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.029352,0.971485,26642,540,1520,745,133,27424,0,4163,1514,1088,27424,25889,6764,2154,2818,16387,29144,0,0,30391,2570,19563,6936,2622,27976,27925,2258,26102,83460,29616,27925,0,0,0,29130,0,28161,4328,2681,0,0,20546,3,602,0,0,0,0,0,1692,883,4352,2765,32930,25284,23973,28915,5162,7214,24183,53487,57238,48,23,80,55,0,3520,5879,43,8,35,5870,47066,1588,2601,13,29,4189,42,29,13,4160,33525,31678,17085,24649,17804
GigaBoomConfig-bitcount.riscv,0,8,0.950513,0.00389489,0.0392835,0.0153665,0.00730551,0.00360672,0.000405421,9.99E-05,0.000123149,6.69E-05,9.99E-05,1.56E-05,0.00205876,0.00191024,0.00266558,0.00216927,1.17E-09,0.00033656,2.72E-09,0.0102775,0.00826399,0.00064453,0.00128906,0.00011981,0,0,0.0108541,0.00339694,0.00339699,5.28E-08,0.00638482,0.00274624,0,0.00363858,0.000944551,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.393806,0.71746,19568,1039,1810,2111,301,27274,0,7345,609,5200,27274,17655,11003,2222,6429,5048,34706,0,0,36964,3276,10019,12062,3905,29797,29536,2544,18529,83307,37768,29536,0,0,0,34348,0,30277,8287,4066,0,0,17885,19,19,0,0,0,0,0,5156,1539,8677,4521,42140,27202,23973,33993,7682,1466,22003,49765,65838,99,47,158,106,0,6784,6959,89,22,67,6937,55739,3640,3658,45,93,7298,138,106,32,7192,58416,36542,17085,23969,17804
GigaBoomConfig-bitonic.riscv,0,9,0.950513,0.00389489,0.0474526,0.0184575,0.00910647,0.00406799,0.000355449,8.18E-05,0.000102834,5.53E-05,8.18E-05,3.37E-05,0.00251454,0.00233315,0.00329613,0.00270034,1.37E-09,0.000436039,3.18E-09,0.012172,0.00995856,0.000711197,0.00142239,0.00011981,0,0,0.0134071,0.00412172,0.00412178,6.17E-08,0.00790986,0.00340117,0,0.00450869,0.00124775,0,0,0,8,5,36,130,128,128,32,32,20,2,5,2,8,8,32,8,32,16,1.600263,0.624897,16736,674,1820,1389,391,26782,0,6789,1129,8857,26782,14752,10104,2100,8716,2174,38678,0,0,41001,3280,7244,11746,3786,31196,30979,2472,16062,86982,44538,30979,0,0,0,38807,0,31628,8020,3980,0,0,19623,3,1,0,0,0,0,0,4150,797,8736,4882,44773,31121,23973,37659,9130,947,22496,49446,72590,56,31,89,66,0,4096,7511,61,21,40,7489,60127,4342,3315,21,48,7657,69,53,16,7604,61272,36399,17085,26187,17804
