config-benchmark,Config_ID,Bench_ID,Int Power,Switch Power,Leak Power,Total Power,Dynamic Power,McPAT.Leakage,McPAT.Dynamic,McPAT.Total,McPTA.Error,McPAT.MAPE
GigaBoomConfig-add_fp.riscv,0,0,27.4,3.08,6.7,37.18,30.48,3.89489,44.0961,47.99099,29.08%,29.08%
GigaBoomConfig-add_fp_large.riscv,0,1,27.4,3.08,6.7,37.18,30.48,3.89489,39.5705,43.46539,16.91%,16.91%
GigaBoomConfig-add_int.riscv,0,2,33,6.45,6.84,46.29,39.45,3.89489,48.8383,52.73319,13.92%,13.92%
GigaBoomConfig-add_int_large.riscv,0,3,33,6.42,6.84,46.26,39.42,3.89489,44.4457,48.34059,4.50%,4.50%
GigaBoomConfig-adpcm_dec.riscv,0,4,27.6,3.33,6.79,37.72,30.93,3.89489,30.9977,34.89259,-7.50%,7.50%
GigaBoomConfig-adpcm_enc.riscv,0,5,27.3,3.03,6.8,37.13,30.33,3.89489,30.9599,34.85479,-6.13%,6.13%
GigaBoomConfig-basicmath_small.riscv,0,6,31.7,6.23,6.87,44.8,37.93,3.89489,29.4457,33.34059,-25.58%,25.58%
GigaBoomConfig-binarysearch.riscv,0,7,27.9,3.82,6.75,38.47,31.72,3.89489,23.6235,27.51839,-28.47%,28.47%
GigaBoomConfig-bitcount.riscv,0,8,29,4.53,6.73,40.26,33.53,3.89489,39.2835,43.17839,7.25%,7.25%
GigaBoomConfig-bitonic.riscv,0,9,28.4,4.11,6.7,39.21,32.51,3.89489,47.4526,51.34749,30.96%,30.96%
GigaBoomConfig-branchy.riscv,0,10,25.9,2.2,6.65,34.75,28.1,3.89489,21.2977,25.19259,-27.50%,27.50%
GigaBoomConfig-branchy_large.riscv,0,11,25.9,2.2,6.65,34.75,28.1,3.89489,21.1808,25.07569,-27.84%,27.84%
GigaBoomConfig-bsort.riscv,0,12,36.3,10.2,6.8,53.3,46.5,3.89489,63.502,67.39689,26.45%,26.45%
GigaBoomConfig-bubblesort.riscv,0,13,34.7,8.41,6.84,49.95,43.11,3.89489,63.7604,67.65529,35.45%,35.45%
GigaBoomConfig-cnt.riscv,0,14,27.4,3.61,6.7,37.71,31.01,3.89489,27.5109,31.40579,-16.72%,16.72%
GigaBoomConfig-complex_updates.riscv,0,15,26,2.32,6.67,34.99,28.32,3.89489,31.9208,35.81569,2.36%,2.36%
GigaBoomConfig-compress.riscv,0,16,26.4,2.92,6.67,35.99,29.32,3.89489,41.7046,45.59949,26.70%,26.70%
GigaBoomConfig-countnegative.riscv,0,17,27.5,3.49,6.73,37.72,30.99,3.89489,33.5233,37.41819,-0.80%,0.80%
GigaBoomConfig-cover.riscv,0,18,26,2.2,6.65,34.85,28.2,3.89489,29.6719,33.56679,-3.68%,3.68%
GigaBoomConfig-crc.riscv,0,19,29.6,5.04,6.73,41.37,34.64,3.89489,37.8605,41.75539,0.93%,0.93%
