config-benchmark,GT.Leakage,GT.Dynamic,GT.Total,McPAT-7nm.Leakage,McPAT-7nm.Dynamic,McPAT-7nm.Total,ML.Leakage,ML-Shuffle.Dynamic,ML-Shuffle.Total,ML-Config.Dynamic,ML-Config.Total,ML-Benchmark.Dynamic,ML-Benchmark.Total
GigaBoomConfig-add_fp.riscv,6.7,30.48,37.18,3.89489,44.0961,47.99099,6.767038202477181,31.318180084228516,38.0852182867057,32.77109146118164,39.53812966365882,32.042301177978516,38.8093393804557
GigaBoomConfig-add_fp_large.riscv,6.7,30.48,37.18,3.89489,39.5705,43.46539,6.767038202477181,31.538652420043945,38.305690622521126,32.693565368652344,39.460603571129525,33.53966522216797,40.30670342464515
GigaBoomConfig-add_int.riscv,6.84,39.45,46.29,3.89489,48.8383,52.73319,6.767038202477181,40.321449279785156,47.08848748226234,41.97080612182617,48.73784432430335,37.5389289855957,44.305967188072884
GigaBoomConfig-add_int_large.riscv,6.84,39.42,46.26,3.89489,44.4457,48.34059,6.767038202477181,38.094207763671875,44.861245966149056,40.66318130493164,47.43021950740882,34.40337371826172,41.1704119207389
GigaBoomConfig-adpcm_dec.riscv,6.79,30.93,37.72,3.89489,30.9977,34.89259,6.767038202477181,34.750999450683594,41.518037653160775,35.43781661987305,42.20485482235023,30.406124114990234,37.173162317467416
GigaBoomConfig-adpcm_enc.riscv,6.8,30.33,37.13,3.89489,30.9599,34.85479,6.767038202477181,31.890695571899414,38.657733774376595,34.45401382446289,41.22105202694007,31.592607498168945,38.359645700646126
GigaBoomConfig-basicmath_small.riscv,6.87,37.93,44.8,3.89489,29.4457,33.34059,6.767038202477181,39.415855407714844,46.182893610192025,40.806087493896484,47.573125696373666,37.61473083496094,44.38176903743812
GigaBoomConfig-binarysearch.riscv,6.75,31.72,38.47,3.89489,23.6235,27.51839,6.767038202477181,31.333415985107422,38.1004541875846,34.74076461791992,41.5078028203971,31.923843383789062,38.690881586266244
GigaBoomConfig-bitcount.riscv,6.73,33.53,40.26,3.89489,39.2835,43.17839,6.767038202477181,33.101688385009766,39.86872658748695,36.006492614746094,42.773530817223275,31.423297882080078,38.19033608455726
GigaBoomConfig-bitonic.riscv,6.7,32.51,39.21,3.89489,47.4526,51.34749,6.767038202477181,32.646568298339844,39.413606500817025,34.836402893066406,41.60344109554359,36.57758712768555,43.34462533016273
GigaBoomConfig-branchy.riscv,6.65,28.1,34.75,3.89489,21.2977,25.19259,6.767038202477181,30.53881072998047,37.30584893245765,32.420379638671875,39.187417841149056,32.642127990722656,39.40916619319984
